groupement_siren,adhesion_siren
200035319,200033702
200035319,200047611
200035319,200071397
200035319,250601879
200035319,258300581
200035319,258301381
200035327,200025278
200035327,200052405
200035327,200062263
200035327,200081990
200035327,200092658
200035327,200093318
200035327,200098853
200035327,254600265
200035327,254600372
200035327,254600687
200035327,254600877
200035327,254603418
200035376,200016103
200035392,200002434
200035442,200023505
200035442,200046191
200035442,200077709
200035442,256203100
200035442,256203886
200035442,256204074
200035442,256204116
200035442,258004688
200035533,200010049
200035533,200052181
200035533,200078970
200035533,200078996
200035533,200096972
200035533,253303499
200035533,253306377
200035533,253306617
200035541,200032894
200035541,200035624
200035541,200042638
200035541,200043511
200035541,200078392
200035541,253306468
200035541,254000847
200035541,254001399
200035541,254002264
200035541,254003304
200035616,254003304
200035624,254003304
200035632,200029437
200035632,200039279
200035632,200051910
200035632,200078368
200035632,200079341
200035632,200079366
200035632,200087328
200035632,243200284
200035632,253200992
200035632,253201529
200035632,253201891
200035632,254002264
200035673,255102592
200035707,200003440
200035707,200050938
200035707,200073633
200035707,200073864
200035707,200091254
200035707,200103042
200035707,251100236
200035707,251100913
200035707,251101671
200035715,200018935
200035715,200036101
200035715,200073468
200035715,200073633
200035715,200077972
200035715,200091254
200035715,200095677
200035715,200096287
200035715,200103042
200035715,251100293
200035715,251100913
200035715,251101549
200035715,251101598
200035715,251101671
200035715,253401632
200035723,200035913
200035723,200044402
200035723,200075737
200035723,252601026
200035723,258400019
200035723,258401439
200035723,258402510
200035723,258403195
200035731,200002731
200035731,200010775
200035731,200024917
200035731,200030476
200035731,200049237
200035731,200049971
200035731,200089712
200035731,200093730
200035731,200094662
200035731,254200546
200035731,254200900
200035731,254201387
200035731,254202104
200035731,254202179
200035731,254202211
200035731,254502008
200035756,200039279
200035756,200044238
200035756,200051480
200035756,200051704
200035756,200052439
200035756,200060531
200035756,200075430
200035756,200078392
200035756,200079168
200035756,200087328
200035756,243200169
200035756,253200489
200035756,253200984
200035756,253201479
200035756,253201891
200035756,254002264
200035756,938539988
200035764,200073831
200035764,200074110
200035764,200075869
200035764,200089696
200035764,200095248
200035764,200103307
200035764,254500010
200035764,254500119
200035764,254502784
200035764,254503113
200035772,200009637
200035772,200028629
200035772,200079218
200035772,200103513
200035772,200103539
200035772,255403495
200035772,255403685
200035814,200051290
200035814,200070704
200035814,200071611
200035814,200077394
200035814,200078301
200035814,200099760
200035814,251403762
200035814,256102138
200035814,256102229
200035814,256102237
200035814,256103177
200035814,256103698
200035814,256104050
200035848,200022382
200035848,200079663
200035848,200079713
200035848,200079762
200035848,200085603
200035848,253602635
200035855,200003440
200035855,200006013
200035855,200050938
200035855,200073633
200035855,200073864
200035855,200091254
200035855,200103042
200035855,251100236
200035855,251100913
200035855,253101927
200035863,200036101
200035863,200049146
200035863,200061091
200035863,200073468
200035863,200077972
200035863,200077980
200035863,251101549
200035863,251101655
200035863,251101671
200035863,251101689
200035863,253401632
200035863,999038177
200035970,200010692
200035970,200050722
200035970,200076131
200035970,200076222
200035970,200083822
200035970,200091916
200035970,200091932
200035970,200094159
200035970,200095131
200035970,200096196
200035970,200097624
200035970,257802264
200035970,259501252
200035970,259502466
200036069,200052538
200036069,200075802
200036069,256102153
200036069,256102179
200036069,256103888
200036069,256104019
200036077,200028017
200036077,200033702
200036077,200046944
200036077,200047611
200036077,200081792
200036077,258300953
200036077,934698283
200036101,253403216
200036135,200041481
200036135,200049948
200036135,200078574
200036135,200078707
200036135,241800549
200036135,250303039
200036135,251801817
200036135,251802161
200036150,200030831
200036150,200039105
200036150,200044527
200036150,200096907
200036150,257001024
200036150,257001164
200036150,257103218
200036234,253306062
200036440,247400799
200036440,257400150
200036465,200049583
200036465,200089894
200036465,256800608
200036465,256801093
200036465,256801655
200036465,256802000
200036465,256802091
200036465,256802208
200036465,256802547
200036465,256802752
200036465,256803115
200036473,200051456
200036473,200051464
200036473,200081735
200036473,200086031
200036473,200090660
200036473,200091700
200036473,251601787
200036473,251701819
200036473,251701827
200036473,251701900
200036473,251702296
200036473,251702320
200036473,251710315
200036473,251710372
200036473,251710562
200036499,200009827
200036523,200044584
200036523,200053528
200036523,200099844
200036523,254702384
200036523,254702491
200036523,254702582
200036549,200034544
200036549,200044527
200036549,200044535
200036549,200050318
200036549,200080380
200036549,200084937
200036549,200095339
200036549,252107776
200036549,257000505
200036549,257000588
200036549,257001016
200036549,257001024
200036549,257002584
200036549,257103218
200036549,939054565
200036556,256203902
200036838,258801901
200036838,258803642
200037059,200021202
200037059,200029692
200037059,200062214
200037059,200078178
200037059,200078244
200037059,200094696
200037059,200102036
200037059,258004365
200037059,258004571
200037059,258004688
200037059,999257157
200037059,999261845
200037059,999348154
200037059,999357726
200037075,257201822
200037133,200015899
200037133,200032977
200037133,200036481
200037133,200077915
200037133,200078038
200037133,200078137
200037133,200081859
200037133,200087021
200037133,257704593
200037133,257705293
200037133,259100857
200037323,200036531
200038891,253306062
200038958,200009827
200038958,200073211
200038990,200016103
200038990,200026243
200038990,200074797
200038990,200080562
200038990,200081552
200038990,200090884
200038990,200091130
200038990,200093664
200038990,253500995
200038990,253501167
200038990,253501688
200038990,253502629
200038990,253502801
200038990,253514491
200038990,253514715
200038990,254401243
200038990,990147522
200039022,200013985
200039022,200077881
200039022,200086858
200039022,200087476
200039022,200087823
200039022,200094589
200039022,253500821
200039022,253500953
200039022,253514491
200039022,253514517
200039022,254401243
200039022,990147522
200039055,200043867
200039055,200048544
200039055,200049922
200039055,200060861
200039055,200092815
200039055,200094951
200039055,252107958
200039055,252109327
